"","KIDSDRIV","HOMEKIDS","PARENT1","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","URBANICITY","AGE","YOJ","INCOME","HOME_VAL","CAR_AGE","TARGET_FLAG","TARGET_AMT"
"8162",0,0,FALSE,FALSE,TRUE,2,Manager,26,TRUE,21970,1,Van,TRUE,0,0,FALSE,2,TRUE,48,11,52881,0,10,FALSE,0
"8163",1,1,TRUE,FALSE,TRUE,1,Manager,21,TRUE,18930,6,Minivan,FALSE,3295,1,FALSE,2,TRUE,40,11,50815,0,1,FALSE,0
"8164",0,2,TRUE,FALSE,FALSE,1,Blue Collar,30,FALSE,5900,10,SUV,FALSE,0,0,FALSE,0,FALSE,44,12,43486,0,10,FALSE,0
"8165",0,2,TRUE,FALSE,TRUE,1,Clerical,74,TRUE,9230,6,Pickup,FALSE,0,0,TRUE,0,FALSE,35,9,21204,0,4,FALSE,0
"8166",0,0,FALSE,FALSE,TRUE,1,Manager,45,TRUE,15420,1,Minivan,TRUE,44857,2,FALSE,4,TRUE,59,12,87460,0,1,FALSE,1.32825969142544e-11
"8167",0,0,FALSE,TRUE,TRUE,2,Professional,7,FALSE,25660,1,Panel Truck,FALSE,2119,1,FALSE,2,TRUE,46,14,82398,207519,12,FALSE,0
"8168",0,0,FALSE,TRUE,FALSE,1,Blue Collar,16,FALSE,11290,1,Sports Car,FALSE,0,0,FALSE,0,TRUE,60,12,37940,182739,1,FALSE,0
"8169",0,0,FALSE,TRUE,TRUE,0,Blue Collar,27,FALSE,24000,4,Panel Truck,FALSE,0,0,FALSE,5,TRUE,54,12,33212,158432,1,FALSE,0
"8170",2,2,TRUE,FALSE,FALSE,2,Blue Collar,5,FALSE,27200,4,Minivan,FALSE,0,0,FALSE,0,FALSE,36,12,130540,344195,9,FALSE,0
"8171",0,0,FALSE,FALSE,FALSE,4,Doctor,22,TRUE,34150,4,Sports Car,FALSE,0,0,FALSE,3,TRUE,50,8,167469,0,1,FALSE,0
"8172",0,0,FALSE,TRUE,TRUE,1,Blue Collar,24,FALSE,23450,1,Minivan,FALSE,0,0,FALSE,2,FALSE,42,10,52988,176275,11,FALSE,0
"8173",0,2,TRUE,FALSE,FALSE,0,Clerical,29,TRUE,14480,1,Minivan,TRUE,0,0,TRUE,2,TRUE,41,7,17755,148815,1,TRUE,5198.74864432314
"8174",1,2,TRUE,FALSE,FALSE,1,Blue Collar,62,FALSE,9360,4,Sports Car,FALSE,0,0,FALSE,0,TRUE,37,13,45484,0,10,TRUE,5368.22471342406
"8175",0,3,FALSE,TRUE,TRUE,3,Lawyer,15,TRUE,10700,6,Minivan,FALSE,2045,2,FALSE,2,TRUE,36,12,56048,137836,16,FALSE,0
